movie,link,budget,gross_ww,runtime,rating,genre
Carol,/title/tt1067106/?ref_=sr_t_1,"['200,000,000']","['325,286,646']",1h 36m,6.8,"['Animation', 'Adventure', 'Comedy']"
The Wind Rises,/title/tt2013293/?ref_=sr_t_1,"['30,000,000']","['136,864,780']",2h 6m,7.7,"['Animation', 'Biography', 'Drama']"
Collateral,/title/tt0369339/?ref_=sr_t_1,"['65,000,000']","['220,239,925']",2h,7.5,"['Action', 'Crime', 'Drama']"
Brooklyn,/title/tt2381111/?ref_=sr_t_1,"['11,000,000']","['62,402,155']",1h 57m,7.5,"['Drama', 'Romance']"
Nightcrawler,/title/tt2872718/?ref_=sr_t_1,"['8,500,000']","['47,425,835']",1h 57m,7.8,"['Crime', 'Drama', 'Thriller']"
Take Shelter,/title/tt1675192/?ref_=sr_t_1,"['5,000,000']","['3,741,098']",2h,7.3,"['Drama', 'Horror', 'Sci-Fi']"
Fantastic Mr Fox,/title/tt0432283/?ref_=sr_t_1,"['40,000,000']","['58,087,259']",1h 27m,7.9,"['Animation', 'Adventure', 'Comedy']"
Senna,/title/tt1424432/?ref_=sr_t_1,,,,,
Frances Ha,/title/tt2347569/?ref_=sr_t_1,,,,,
Dogtooth,/title/tt1379182/?ref_=sr_t_1,,,,,
A Pigeon Sat on a Branch Reflecting on Existence,/title/tt1883180/?ref_=sr_t_1,,,,,
Katyn,/title/tt0879843/?ref_=sr_t_1,"['4,000,000']","['14,768,451']",2h 1m,7.0,"['Drama', 'History', 'War']"
Sympathy for Mr Vengeance,/title/tt0310775/?ref_=sr_t_1,"['4,000,000']","['2,046,061']",2h 9m,7.5,"['Crime', 'Drama', 'Thriller']"
Still Life,/title/tt2395417/?ref_=sr_t_1,,,,,
Archipelago,/title/tt1527835/?ref_=sr_t_1,[],[],1h 54m,6.3,['Drama']
Divine Intervention,/title/tt0274428/?ref_=sr_t_1,,,,,
Crimson Gold,/title/tt0371280/?ref_=sr_t_1,,,,,
Spider-Man 2,/title/tt18351128/?ref_=sr_t_1,[],,,,
Frozen,/title/tt2294629/?ref_=sr_t_1,"['150,000,000']","['1,397,042,']",1h 42m,7.4,"['Animation', 'Adventure', 'Comedy']"
Shaun of the Dead,/title/tt0365748/?ref_=sr_t_1,"['4,000,000']","['38,649,825']",1h 39m,7.9,"['Comedy', 'Horror']"
Shame,/title/tt1723811/?ref_=sr_t_1,"['6,500,000']","['19,123,767']",Steve McQueen,7.2,['Drama']
Sideways,/title/tt0375063/?ref_=sr_t_1,"['16,000,000']","['109,706,931']",2h 7m,7.5,"['Comedy', 'Drama', 'Romance']"
Dogville,/title/tt0276919/?ref_=sr_t_1,"['10,000,000']","['16,690,617']",Lars von Trier,8.0,"['Crime', 'Drama']"
Short Term 12,/title/tt2370248/?ref_=sr_t_1,,,,,
Blue Valentine,/title/tt1120985/?ref_=sr_t_1,"['1,000,000']","['15,440,333']",1h 52m,7.3,"['Drama', 'Romance']"
The Squid and the Whale,/title/tt0367089/?ref_=sr_t_1,"['1,500,000']","['11,098,131']",1h 21m,7.3,"['Comedy', 'Drama']"
Jersey Boys,/title/tt1742044/?ref_=sr_t_1,"['40,000,000']","['67,647,013']",2h 14m,6.8,"['Biography', 'Drama', 'Music']"
Nine Queens,/title/tt0247586/?ref_=sr_t_1,"['1,500,000']","['12,413,888']",1h 54m,7.9,"['Crime', 'Drama', 'Thriller']"
Mia Madre,/title/tt0071131/?ref_=sr_t_1,,,,,
"Right Now, Wrong Then",/title/tt4768776/?ref_=sr_t_1,,,,,
Adventureland,/title/tt1091722/?ref_=sr_t_1,,,,,
Open Range,/title/tt0316356/?ref_=sr_t_1,"['22,000,000']","['68,296,293']",2h 19m,7.4,"['Action', 'Drama', 'Romance']"
Profit Motive and the Whispering Wind,/title/tt1158308/?ref_=sr_t_1,,,,,
In Jackson Heights,/title/tt4936064/?ref_=sr_t_1,,,,,
Love Exposure,/title/tt1128075/?ref_=sr_t_1,,,,,
Sicario,/title/tt3397884/?ref_=sr_t_1,"['30,000,000']","['84,997,446']",2h 1m,7.7,"['Action', 'Crime', 'Drama']"
No,/title/tt15671028/?ref_=sr_t_1,"['45,000,000']","['87,256,407']",1h 43m,6.4,"['Comedy', 'Romance']"
Whiplash,/title/tt2582802/?ref_=sr_t_1,"['3,300,000']","['49,440,684']",1h 46m,8.5,"['Drama', 'Music']"
Animal Kingdom,/title/tt16606592/?ref_=sr_t_1,"['13,000,000']","['8,149,289']",Thomas Cailley,7.2,"['Adventure', 'Drama', 'Mystery']"
Apocalypto,/title/tt0472043/?ref_=sr_t_1,"['40,000,000']","['120,673,227']",2h 19m,7.8,"['Action', 'Adventure', 'Drama']"
Three Monkeys,/title/tt6466464/?ref_=sr_t_1,"['73,000,000']","['115,084,576']",1h 54m,5.5,"['Action', 'Adventure', 'Family']"
Listen to Me Marlon,/title/tt4145178/?ref_=sr_t_1,,,,,
Talladega Nights: The Ballad of Ricky Bobby,/title/tt0415306/?ref_=sr_t_1,"['72,500,000']","['163,362,095']",1h 48m,6.6,"['Comedy', 'Sport']"
Centochiodi,/title/tt0985597/?ref_=sr_t_1,"['4,213,000']","['3,536,561']",Raz Degan,6.3,['Drama']
United 93,/title/tt0475276/?ref_=sr_t_1,"['15,000,000']","['76,700,659']",Paul Greengrass,7.6,"['Action', 'Drama', 'History']"
Bridesmaids,/title/tt1478338/?ref_=sr_t_1,"['32,500,000']","['306,442,085']",2h 5m,6.8,['Comedy']
The Look of Silence,/title/tt3521134/?ref_=sr_t_1,,,,,
We Need to Talk About Kevin,/title/tt1242460/?ref_=sr_t_1,"['7,000,000']","['9,232,318']",1h 52m,7.5,"['Drama', 'Mystery', 'Thriller']"
Chuck & Buck,/title/tt0200530/?ref_=sr_t_1,[],"['1,182,065']",1h 36m,6.6,"['Comedy', 'Drama']"
Gladiator,/title/tt0172495/?ref_=sr_t_1,"['103,000,000']","['503,162,313']",2h 35m,8.5,"['Action', 'Adventure', 'Drama']"
Munich,/title/tt0408306/?ref_=sr_t_1,"['70,000,000']","['130,982,129']",2h 44m,7.5,"['Action', 'Drama', 'History']"
Femme Fatale,/title/tt0280665/?ref_=sr_t_1,"['35,000,000']","['16,838,910']",1h 54m,6.2,"['Crime', 'Drama', 'Mystery']"
This Is Not a Film,/title/tt1667905/?ref_=sr_t_1,,,,,
Two Lovers,/title/tt1103275/?ref_=sr_t_1,"['9,800,000']","['16,303,643']",1h 50m,7.0,"['Drama', 'Romance']"
Heart of a Dog,/title/tt4935446/?ref_=sr_t_1,,,,,
The Lives of Others,/title/tt0405094/?ref_=sr_t_1,"['2,000,000']","['77,356,942']",2h 17m,8.4,"['Drama', 'Mystery', 'Thriller']"
Werckmeister Harmonies,/title/tt0249241/?ref_=sr_t_1,"['10,000,000']",[],Béla Tarr,8.0,"['Drama', 'Mystery']"
White Material,/title/tt1135952/?ref_=sr_t_1,,,,,
Stranger by the Lake,/title/tt2852458/?ref_=sr_t_1,,,,,
Colossal Youth,/title/tt0460480/?ref_=sr_t_1,,,,,
Story of My Death,/title/tt3102458/?ref_=sr_t_1,"['1,300,000']",[],Albert Serra,6.3,['Drama']
Aurora,/title/tt19394520/?ref_=sr_t_1,,,,,
The Turin Horse,/title/tt1316540/?ref_=sr_t_1,,,,,
Shutter Island,/title/tt1130884/?ref_=sr_t_1,"['80,000,000']","['294,805,697']",2h 18m,8.2,"['Mystery', 'Thriller']"
Saraband,/title/tt0299478/?ref_=sr_t_1,,,,,
The Return,/title/tt0167260/?ref_=sr_t_1,"['94,000,000']","['1,156,149,']",3h 21m,9.0,"['Action', 'Adventure', 'Drama']"
Import Export,/title/tt0459102/?ref_=sr_t_1,,,,,
The Revenant,/title/tt1663202/?ref_=sr_t_1,"['135,000,000']","['532,950,503']",2h 36m,8.0,"['Action', 'Adventure', 'Drama']"
Tie Xi Qu: West of the Tracks,/title/tt0389448/?ref_=sr_t_1,,,,,
Le filmeur,/title/tt0463991/?ref_=sr_t_1,,,,,
Our Daily Bread,/title/tt0765849/?ref_=sr_t_1,,,,,
Ankhon Dekhi,/title/tt3614516/?ref_=sr_t_1,,,,,
Court,/title/tt24249946/?ref_=sr_t_1,,,,,
"LSD: Love, Sex Aur Dhokha",/title/tt1608777/?ref_=sr_t_1,,,,,
Paan Singh Tomar,/title/tt1620933/?ref_=sr_t_1,,,,,
Udaan,/title/tt1639426/?ref_=sr_t_1,,,,,
Hazaaron Khwaishein Aisi,/title/tt0411469/?ref_=sr_t_1,,,,,
Maqbool,/title/tt0379370/?ref_=sr_t_1,,,,,
Lagaan: Once Upon a Time in India,/title/tt0169102/?ref_=sr_t_1,"['250,000,000']","['1,724,806']",3h 44m,8.1,"['Drama', 'Musical', 'Sport']"
AI: Artificial Intelligence,/title/tt11440268/?ref_=sr_t_1,[],,,,
The Lady and the Duke,/title/tt0239234/?ref_=sr_t_1,"['39,000,000']","['1,128,137']",2h 9m,6.8,"['Drama', 'History', 'Romance']"
Silent Souls,/title/tt1693830/?ref_=sr_t_1,,,,,
Me and You and Everyone We Know,/title/tt0415978/?ref_=sr_t_1,[],"['8,012,838']",Miranda July,7.2,"['Comedy', 'Drama']"
Gone Girl,/title/tt2267998/?ref_=sr_t_1,"['61,000,000']","['369,330,363']",2h 29m,8.1,"['Drama', 'Mystery', 'Thriller']"
Pain & Gain,/title/tt1980209/?ref_=sr_t_1,"['26,000,000']","['87,305,549']",2h 9m,6.4,"['Action', 'Biography', 'Comedy']"
Before Midnight,/title/tt2209418/?ref_=sr_t_1,"['3,000,000']","['20,851,106']",1h 49m,7.9,"['Drama', 'Romance']"
Fruitvale Station,/title/tt2334649/?ref_=sr_t_1,[],"['17,385,830']",1h 25m,7.5,"['Biography', 'Crime', 'Drama']"
Brick,/title/tt0393109/?ref_=sr_t_1,[],"['3,947,579']",1h 50m,7.2,"['Crime', 'Drama', 'Mystery']"
Stray Dogs,/title/tt0041699/?ref_=sr_t_1,,,,,
Ten,/title/tt0147800/?ref_=sr_t_1,"['30,000,000']","['53,479,734']",1h 37m,7.3,"['Comedy', 'Drama', 'Romance']"
Closed Curtain,/title/tt2626926/?ref_=sr_t_1,,,,,
Tangerine,/title/tt3824458/?ref_=sr_t_1,[],[],1h 28m,7.1,"['Comedy', 'Crime', 'Drama']"
Notre musique,/title/tt0360845/?ref_=sr_t_1,,,,,
Triple Agent,/title/tt0374294/?ref_=sr_t_1,,,,,
Gran Torino,/title/tt1205489/?ref_=sr_t_1,"['33,000,000']","['269,958,228']",1h 56m,8.1,['Drama']
Horse Money,/title/tt3907156/?ref_=sr_t_1,[],[],1h 43m,6.9,['Drama']
Déjà Vu,/title/tt0453467/?ref_=sr_t_1,"['75,000,000']","['180,557,550']",2h 6m,7.1,"['Action', 'Crime', 'Sci-Fi']"
Seventh Code,/title/tt3265404/?ref_=sr_t_1,,,,,
Dreams of a Life,/title/tt1819513/?ref_=sr_t_1,,,,,
The Gleaners and I,/title/tt0247380/?ref_=sr_t_1,,,,,
Lumumba,/title/tt0246765/?ref_=sr_t_1,,,,,
Hunger,/title/tt10545296/?ref_=sr_t_1,"['100,000,000']","['260,359,377']",2h 37m,7.2,"['Action', 'Adventure', 'Drama']"
"Eat, Sleep, Die",/title/tt2085002/?ref_=sr_t_1,"['11,700,000']",[],Gabriela Pichler,6.4,['Drama']
Middle of Nowhere,/title/tt1032817/?ref_=sr_t_1,,,,,
Star Trek,/title/tt0796366/?ref_=sr_t_1,"['150,000,000']","['385,680,446']",2h 7m,7.9,"['Action', 'Adventure', 'Sci-Fi']"
Waking Life,/title/tt0243017/?ref_=sr_t_1,,,,,
Enter the Void,/title/tt1191111/?ref_=sr_t_1,"['16,000,000']",[],2h 41m,7.2,"['Drama', 'Fantasy']"
Of Gods and Men,/title/tt1588337/?ref_=sr_t_1,"['4,000,000']","['43,803,417']",2h 2m,7.2,"['Drama', 'History']"
Into Great Silence,/title/tt0478160/?ref_=sr_t_1,,,,,
The Descendants,/title/tt1033575/?ref_=sr_t_1,"['20,000,000']","['177,243,185']",1h 55m,7.3,"['Comedy', 'Drama']"
Beasts of the Southern Wild,/title/tt2125435/?ref_=sr_t_1,"['1,800,000']","['21,107,746']",1h 33m,7.2,"['Adventure', 'Drama', 'Fantasy']"
Idiocracy,/title/tt0387808/?ref_=sr_t_1,"['2,400,000']",[],1h 24m,6.5,"['Adventure', 'Comedy', 'Sci-Fi']"
The Hurt Locker,/title/tt0887912/?ref_=sr_t_1,"['15,000,000']","['49,259,766']",2h 11m,7.5,"['Drama', 'Thriller', 'War']"
Michael Clayton,/title/tt0465538/?ref_=sr_t_1,"['25,000,000']","['92,991,835']",1h 59m,7.2,"['Crime', 'Drama', 'Mystery']"
You Can Count on Me Me,/title/tt0203230/?ref_=sr_t_1,"['1,200,000']","['11,242,521']",1h 51m,7.5,['Drama']
Wolff Von Amerongen: Did He Commit Bankruptcy Offences?,/title/tt0499138/?ref_=sr_t_1,,,,,
Longing,/title/tt9198364/?ref_=sr_t_1,"['60,000,000']","['20,282,422']",1h 48m,6.7,"['Drama', 'Fantasy', 'Romance']"
Toni Erdmann,/title/tt4048272/?ref_=sr_t_1,"['3,000,000']","['11,784,207']",2h 42m,7.3,"['Comedy', 'Drama']"
Platform,/title/tt8228288/?ref_=sr_t_1,,,,,
The Holy Girl,/title/tt0300270/?ref_=sr_t_1,"['1,400,000']","['1,261,792']",1h 46m,6.7,['Drama']
Y Tu Mamá También,/title/tt0245574/?ref_=sr_t_1,"['2,000,000']","['33,616,692']",Alfonso Cuarón,7.7,['Drama']
Good Night and Good Luck,/title/tt0433383/?ref_=sr_t_1,"['7,000,000']","['54,641,191']",1h 33m,7.4,"['Biography', 'Drama', 'History']"
Hugo,/title/tt0970179/?ref_=sr_t_1,"['150,000,000']","['185,770,310']",2h 6m,7.5,"['Adventure', 'Drama', 'Family']"
Quills,/title/tt0180073/?ref_=sr_t_1,"['13,500,000']","['17,989,227']",2h 4m,7.2,"['Biography', 'Drama']"
The Sapphires,/title/tt1673697/?ref_=sr_t_1,"['10,000,000']","['20,423,628']",1h 43m,7.0,"['Biography', 'Comedy', 'Drama']"
Where Do We Go Now?,/title/tt1772424/?ref_=sr_t_1,"['6,700,000']","['7,507,008']",1h 50m,7.4,"['Comedy', 'Drama']"
Ajami,/title/tt1077262/?ref_=sr_t_1,"['1,000,000']","['1,331,651']",2h 4m,7.3,"['Crime', 'Drama']"
Amélie,/title/tt0211915/?ref_=sr_t_1,"['10,000,000']","['174,277,375']",2h 2m,8.3,"['Comedy', 'Romance']"
Avatar,/title/tt1630029/?ref_=sr_t_1,"['350,000,000']","['2,320,250,']",3h 12m,7.6,"['Action', 'Adventure', 'Fantasy']"
Coming Home,/title/tt8350360/?ref_=sr_t_1,"['30,000,000']","['231,252,591']",1h 46m,5.9,"['Horror', 'Mystery', 'Thriller']"
The Wrestler,/title/tt1125849/?ref_=sr_t_1,"['6,000,000']","['44,734,660']",1h 49m,7.9,"['Drama', 'Sport']"
The Great Beauty,/title/tt2358891/?ref_=sr_t_1,"['9,200,000']","['25,109,160']",2h 21m,7.7,['Drama']
Eden,/title/tt1020530/?ref_=sr_t_1,,,,,
Ghost World,/title/tt0162346/?ref_=sr_t_1,"['7,000,000']","['8,764,389']",1h 51m,7.3,"['Comedy', 'Drama']"
Wendy and Lucy,/title/tt1152850/?ref_=sr_t_1,[],"['1,192,995']",1h 20m,7.1,['Drama']
Everyone Else,/title/tt1204773/?ref_=sr_t_1,,,,,
Millennium Mambo,/title/tt0283283/?ref_=sr_t_1,,,,,
In Vanda’s Room,/title/tt0139500/?ref_=sr_t_1,,,,,
My Golden Days,/title/tt4048050/?ref_=sr_t_1,,,,,
Carlos,/title/tt1067774/?ref_=sr_t_1,"['20,000,000']","['39,782,683']",1h 49m,5.8,"['Adventure', 'Comedy', 'Family']"
Sumas y Restas,/title/tt0265825/?ref_=sr_t_1,"['1,500,000']",,,,
Regular Lovers,/title/tt0443844/?ref_=sr_t_1,,,,,
The Days When I Do Not Exist,/title/tt0365398/?ref_=sr_t_1,,,,,
The Death of Mr Lazarescu,/title/tt0456149/?ref_=sr_t_1,[],[],2h 33m,7.8,"['Comedy', 'Drama']"
Phoenix,/title/tt0373889/?ref_=sr_t_1,"['150,000,000']","['939,288,806']",2h 18m,7.5,"['Action', 'Adventure', 'Family']"
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,/title/tt0262240/?ref_=sr_t_1,,,,,
Silver Linings Playbook,/title/tt1045658/?ref_=sr_t_1,"['21,000,000']","['236,412,453']",2h 2m,7.7,"['Comedy', 'Drama', 'Romance']"
The Artist,/title/tt3521126/?ref_=sr_t_1,"['10,000,000']","['29,820,616']",1h 44m,7.3,"['Biography', 'Comedy', 'Drama']"
The King’s Speech,/title/tt1504320/?ref_=sr_t_1,"['15,000,000']","['484,068,861']",1h 58m,8.0,"['Biography', 'Drama', 'History']"
Vera Drake,/title/tt0383694/?ref_=sr_t_1,"['11,000,000']","['13,267,869']",2h 5m,7.6,"['Crime', 'Drama']"
Wild,/title/tt0758758/?ref_=sr_t_1,"['15,000,000']","['56,675,895']",2h 28m,8.1,"['Adventure', 'Biography', 'Drama']"
Theeb,/title/tt3170902/?ref_=sr_t_1,,,,,
A Time for Drunken Horses,/title/tt0259072/?ref_=sr_t_1,,,,,
Man on Wire,/title/tt1155592/?ref_=sr_t_1,"['1,000,000']","['5,258,569']",1h 34m,7.7,"['Documentary', 'Biography', 'Crime']"
Days of Glory,/title/tt0444182/?ref_=sr_t_1,"['14,500,000']","['22,963,701']",2h,7.0,"['Action', 'Drama', 'War']"
Cosmos,/title/tt19861160/?ref_=sr_t_1,,,,,
Che,/title/tt0111573/?ref_=sr_t_1,"['2,700,000']",,,,
The Intruder,/title/tt6722030/?ref_=sr_t_1,"['8,000,000']","['36,599,361']",1h 42m,5.6,"['Horror', 'Thriller']"
Morvern Callar,/title/tt0300214/?ref_=sr_t_1,,,,,
The Circle,/title/tt4649466/?ref_=sr_t_1,"['104,000,000']","['410,902,662']",2h 21m,6.7,"['Action', 'Adventure', 'Comedy']"
Bad Education,/title/tt8206668/?ref_=sr_t_1,,,,,
Rust and Bone,/title/tt2053425/?ref_=sr_t_1,"['15,550,182']","['25,807,712']",2h,7.4,"['Drama', 'Romance']"
5x2,/title/tt0354356/?ref_=sr_t_1,"['5,250,784']","['7,444,906']",1h 30m,6.6,"['Drama', 'Romance']"
"Police, Adjective",/title/tt1337051/?ref_=sr_t_1,[],[],1h 53m,7.0,"['Crime', 'Drama']"
Winter Sleep,/title/tt2758880/?ref_=sr_t_1,,,,,
Jackass 3D,/title/tt1116184/?ref_=sr_t_1,"['20,000,000']","['171,685,792']",1h 34m,7.0,"['Documentary', 'Action', 'Comedy']"
What Time Is It There?,/title/tt0269746/?ref_=sr_t_1,,,,,
Letters From Iwo Jima,/title/tt0498380/?ref_=sr_t_1,"['19,000,000']","['68,673,228']",2h 21m,7.8,"['Action', 'Adventure', 'Drama']"
Nebraska,/title/tt1821549/?ref_=sr_t_1,"['12,000,000']","['27,682,872']",1h 55m,7.7,['Drama']
The Magdalene Sisters,/title/tt0318411/?ref_=sr_t_1,,,,,
Father of My Children,/title/tt1356928/?ref_=sr_t_1,"['2,100,000']",[],1h 50m,6.8,['Drama']
The Consequences of Love,/title/tt0398883/?ref_=sr_t_1,"['2,000,000']","['2,556,056']",Paolo Sorrentino,7.5,"['Crime', 'Drama', 'Romance']"
Summer Hours,/title/tt0836700/?ref_=sr_t_1,"['4,400,000']","['7,835,857']",1h 43m,7.1,"['Drama', 'Family']"
Wet Hot American Summer,/title/tt0243655/?ref_=sr_t_1,"['5,000,000']",[],1h 37m,6.5,"['Comedy', 'Romance']"
Cast Away,/title/tt0162222/?ref_=sr_t_1,"['90,000,000']","['429,632,142']",2h 23m,7.8,"['Adventure', 'Drama', 'Romance']"
Café Lumière,/title/tt0412596/?ref_=sr_t_1,,,,,
Millennium Actress,/title/tt0291350/?ref_=sr_t_1,,,,,
Hotel Rwanda,/title/tt0395169/?ref_=sr_t_1,"['17,500,000']","['33,882,243']",2h 1m,8.1,"['Biography', 'Drama', 'History']"
Birth,/title/tt0337876/?ref_=sr_t_1,"['20,000,000']","['23,925,492']",1h 40m,6.2,"['Drama', 'Fantasy', 'Mystery']"
Silent Light,/title/tt0841925/?ref_=sr_t_1,[],[],2h 16m,7.2,"['Drama', 'Romance']"
Winter's Bone,/title/tt1399683/?ref_=sr_t_1,"['2,000,000']","['13,796,834']",1h 40m,7.1,"['Drama', 'Mystery']"
Moon,/title/tt5537002/?ref_=sr_t_1,"['200,000,000']","['155,576,319']",3h 26m,7.9,"['Crime', 'Drama', 'History']"
The Taste of Others,/title/tt0216787/?ref_=sr_t_1,,,,,
The Assassination of Jesse James by the Coward Robert Ford,/title/tt0443680/?ref_=sr_t_1,"['30,000,000']","['15,001,776']",2h 40m,7.5,"['Biography', 'Crime', 'Drama']"
The Lord of the Rings: The Fellowship of the Ring,/title/tt0120737/?ref_=sr_t_1,"['93,000,000']","['883,407,846']",2h 58m,8.8,"['Action', 'Adventure', 'Drama']"
Making Of,/title/tt0443453/?ref_=sr_t_1,"['18,000,000']","['262,552,893']",1h 24m,7.4,['Comedy']
House of Flying Daggers,/title/tt0385004/?ref_=sr_t_1,"['100,000,000']","['92,863,945']",1h 59m,7.5,"['Action', 'Adventure', 'Drama']"
Miners Shot Down,/title/tt3677896/?ref_=sr_t_1,,,,,
678,/title/tt1764141/?ref_=sr_t_1,,,,,
Hijack Stories,/title/tt0215841/?ref_=sr_t_1,,,,,
Spotlight,/title/tt1895587/?ref_=sr_t_1,"['20,000,000']","['98,690,254']",2h 9m,8.1,"['Biography', 'Crime', 'Drama']"
The Gatekeepers,/title/tt2309788/?ref_=sr_t_1,,,,,
Sexy Beast,/title/tt0203119/?ref_=sr_t_1,,,,,
Anchorman: The Legend of Ron Burgundy,/title/tt0357413/?ref_=sr_t_1,"['26,000,000']","['90,709,367']",1h 34m,7.1,['Comedy']
Los Angeles Plays Itself,/title/tt0379357/?ref_=sr_t_1,,,,,
Crank,/title/tt0479884/?ref_=sr_t_1,"['12,000,000']","['42,931,041']",1h 28m,6.9,"['Action', 'Crime', 'Thriller']"
The Forest for the Trees,/title/tt0386862/?ref_=sr_t_1,,,,,
Miami Vice,/title/tt0430357/?ref_=sr_t_1,"['135,000,000']","['163,794,509']",2h 12m,6.1,"['Action', 'Crime', 'Drama']"
Woman on the Beach,/title/tt0040000/?ref_=sr_t_1,,,,,
Nostalgia for the Light,/title/tt1556190/?ref_=sr_t_1,,,,,
Lifeline,/title/tt25973750/?ref_=sr_t_1,,,,,
Kung Fu Hustle,/title/tt0373074/?ref_=sr_t_1,"['20,000,000']","['104,882,445']",1h 39m,7.7,"['Action', 'Comedy', 'Fantasy']"
Un lac,/title/tt1270702/?ref_=sr_t_1,,,,,
Detention,/title/tt1701990/?ref_=sr_t_1,"['10,000,000']",,,,
A Vingança de Uma Mulher,/title/tt2050453/?ref_=sr_t_1,,,,,
Match Point,/title/tt0416320/?ref_=sr_t_1,"['15,000,000']","['85,638,656']",2h 4m,7.6,"['Drama', 'Romance', 'Thriller']"
No Home Movie,/title/tt4881016/?ref_=sr_t_1,,,,,
The Romance of Astrea and Celadon,/title/tt0823240/?ref_=sr_t_1,,,,,
The Strange Case of Angelica,/title/tt1282153/?ref_=sr_t_1,"['2,000,000']",[],1h 37m,6.3,"['Drama', 'Fantasy']"
You Will Meet a Tall Dark Stranger,/title/tt1182350/?ref_=sr_t_1,"['22,000,000']","['36,015,260']",1h 38m,6.3,"['Comedy', 'Drama', 'Romance']"
The Hateful Eight,/title/tt3460252/?ref_=sr_t_1,"['44,000,000']","['161,217,616']",2h 48m,7.8,"['Crime', 'Drama', 'Mystery']"
Hedwig and the Angry Inch,/title/tt0248845/?ref_=sr_t_1,"['6,000,000']","['3,660,081']",1h 35m,7.7,"['Comedy', 'Drama', 'Music']"
Battle Royale,/title/tt0266308/?ref_=sr_t_1,"['4,500,000']","['1,340,715']",1h 54m,7.5,"['Action', 'Adventure', 'Drama']"
Bad Lieutenant: Port of Call New Orleans,/title/tt1095217/?ref_=sr_t_1,"['25,000,000']","['10,606,422']",2h 2m,6.6,"['Crime', 'Drama', 'Mystery']"
Night Will Fall,/title/tt3455822/?ref_=sr_t_1,,,,,
The Lobster,/title/tt3464902/?ref_=sr_t_1,"['4,000,000']","['17,581,104']",1h 59m,7.1,"['Drama', 'Romance', 'Sci-Fi']"
Best in Show,/title/tt0218839/?ref_=sr_t_1,"['10,000,000']","['20,789,556']",1h 30m,7.4,['Comedy']
About Elly,/title/tt1360860/?ref_=sr_t_1,,,,,
Good Bye Lenin!,/title/tt0301357/?ref_=sr_t_1,"['4,800,000']","['79,316,957']",2h 1m,7.7,"['Comedy', 'Drama', 'Romance']"
The Baader Meinhof Complex,/title/tt0765432/?ref_=sr_t_1,"['20,000,000']","['26,937,355']",2h 30m,7.3,"['Action', 'Biography', 'Crime']"
Django Unchained,/title/tt1853728/?ref_=sr_t_1,"['100,000,000']","['426,074,373']",2h 45m,8.5,"['Drama', 'Western']"
Alpha Dog,/title/tt0426883/?ref_=sr_t_1,,,,,
Young Adult,/title/tt1625346/?ref_=sr_t_1,"['12,000,000']","['22,939,027']",1h 34m,6.3,"['Comedy', 'Drama']"
Tropic Thunder,/title/tt0942385/?ref_=sr_t_1,"['92,000,000']","['195,702,963']",1h 47m,7.1,"['Action', 'Comedy', 'War']"
Dirty Pretty Things,/title/tt0301199/?ref_=sr_t_1,"['10,000,000']","['13,904,766']",1h 37m,7.3,"['Crime', 'Drama', 'Thriller']"
The Imposter,/title/tt1966604/?ref_=sr_t_1,,,,,
A Girl Walks Home Alone at Night,/title/tt2326554/?ref_=sr_t_1,,,,,
Bone Tomahawk,/title/tt2494362/?ref_=sr_t_1,"['1,800,000']",[],2h 12m,7.1,"['Drama', 'Horror', 'Western']"
The Queen,/title/tt3463938/?ref_=sr_t_1,,,,,
Climates,/title/tt0498097/?ref_=sr_t_1,,,,,
Poetry,/title/tt1287878/?ref_=sr_t_1,"['1,300,000,']","['2,539,040']",2h 19m,7.8,['Drama']
Beyond the Hills,/title/tt2258281/?ref_=sr_t_1,,,,,
All Divided Selves,/title/tt2261217/?ref_=sr_t_1,,,,,
Oasis,/title/tt0320193/?ref_=sr_t_1,,,,,
The House of Mirth,/title/tt0200720/?ref_=sr_t_1,"['10,000,000']","['5,164,404']",2h 15m,7.0,"['Romance', 'Drama']"
Locke,/title/tt24870072/?ref_=sr_t_1,,,,,
Sin Nombre,/title/tt1127715/?ref_=sr_t_1,,,,,
Babel,/title/tt0449467/?ref_=sr_t_1,"['25,000,000']","['135,330,182']",2h 23m,7.5,['Drama']
The Sky Trembles and the Earth Is Afraid and the Two Eyes Are Not Brothers,/title/tt4881172/?ref_=sr_t_1,,,,,
From What Is Before,/title/tt3303310/?ref_=sr_t_1,[],,,,
Lost and Beautiful,/title/tt2188860/?ref_=sr_t_1,[],[],Maurizio Braucci,6.7,"['Adventure', 'Drama', 'Fantasy']"
The Captive,/title/tt2326612/?ref_=sr_t_1,,,,,
The Yards,/title/tt0190138/?ref_=sr_t_1,"['41,300,000']","['106,371,651']",1h 38m,6.7,"['Comedy', 'Crime']"
Shara,/title/tt0363060/?ref_=sr_t_1,,,,,
Twixt,/title/tt1756851/?ref_=sr_t_1,"['7,000,000']",[],1h 28m,4.7,"['Comedy', 'Fantasy', 'Horror']"
To Die Like a Man,/title/tt1424361/?ref_=sr_t_1,[],[],João Pedro Rodrigues,6.4,"['Drama', 'Music']"
The Deep Blue Sea,/title/tt1700844/?ref_=sr_t_1,,,,,
Sita Sings the Blues,/title/tt1172203/?ref_=sr_t_1,,,,,
